"Name","Id","Memory(MB)","ThreadCount","CPU","StartTime","Path"
"ApplicationFrameHost","3592","11,57","6","0,1875","02.04.2026 11:30:20","C:\Windows\system32\ApplicationFrameHost.exe"
"armsvc","3844","1,27","2","0,015625","02.04.2026 11:22:22","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
"audiodg","8592","12,24","4","0,109375","03.04.2026 8:03:45","C:\Windows\system32\AUDIODG.EXE"
"avp","3872","411,73","120","6417,078125","02.04.2026 11:22:22",
"avp","4736","7,53","7","0,421875","02.04.2026 12:00:37",
"avp","7700","8,91","8","0,25","02.04.2026 11:22:37",
"avpsus","4720","8,99","41","13,859375","02.04.2026 11:24:29",
"avpui","8040","4,59","8","0,265625","02.04.2026 11:29:58",
"ClassicStartMenu","8700","3,18","1","0,078125","02.04.2026 11:30:00","C:\Program Files\Classic Shell\ClassicStartMenu.exe"
"conhost","3132","14,14","5","0,015625","03.04.2026 8:04:19","C:\Windows\system32\conhost.exe"
"conhost","4244","7,04","4","0,203125","02.04.2026 11:24:36","C:\Windows\system32\conhost.exe"
"conhost","4268","6,79","4","0,09375","02.04.2026 11:22:24","C:\Windows\system32\conhost.exe"
"conhost","4880","6,98","4","0,046875","02.04.2026 11:22:23","C:\Windows\system32\conhost.exe"
"conhost","6772","7,01","4","0,171875","02.04.2026 11:22:29","C:\Windows\system32\conhost.exe"
"conhost","11060","15,77","5","0,96875","03.04.2026 8:03:46","C:\Windows\system32\conhost.exe"
"csrss","756","2,84","14","1,703125","02.04.2026 11:22:18",
"csrss","840","3,53","14","15,890625","02.04.2026 11:22:19",
"ctfmon","4716","12,46","12","22,953125","02.04.2026 11:29:58","C:\Windows\system32\ctfmon.exe"
"dwm","1864","96,57","14","195,578125","02.04.2026 11:22:20","C:\Windows\system32\dwm.exe"
"explorer","8484","139","79","181,609375","02.04.2026 11:29:59","C:\Windows\Explorer.EXE"
"FamItrfc","7116","9,71","6","0,109375","03.04.2026 8:03:46","C:\Windows\SysWOW64\rserver30\FamItrfc.Exe"
"FamItrfc","11884","7,83","3","0,03125","03.04.2026 8:03:46","C:\Windows\SysWOW64\rserver30\FamItrfc.Exe"
"fontdrvhost","1068","1,78","5","0,109375","02.04.2026 11:22:19","C:\Windows\system32\fontdrvhost.exe"
"fontdrvhost","1076","10,09","5","1,640625","02.04.2026 11:22:19","C:\Windows\system32\fontdrvhost.exe"
"Idle","0","0,01","8",,,
"igfxCUIService","1872","3,54","2","0,03125","02.04.2026 11:22:20","C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_98728bfffafc23c2\igfxCUIService.exe"
"igfxEM","8564","6,47","3","0,34375","02.04.2026 11:29:59","C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_98728bfffafc23c2\igfxEM.exe"
"IntelCpHDCPSvc","1640","1,92","3","0,015625","02.04.2026 11:22:20","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b53c057d22ce6f37\IntelCpHDCPSvc.exe"
"IntelCpHeciSvc","1840","2,66","3","0,015625","02.04.2026 11:22:20","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b53c057d22ce6f37\IntelCpHeciSvc.exe"
"jhi_service","3880","1,36","2","0,015625","02.04.2026 11:22:22","C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_3befaa646f991169\jhi_service.exe"
"klnagent","6156","41,46","35","72,71875","02.04.2026 11:24:31",
"Lightshot","10128","4,09","4","0,15625","02.04.2026 11:30:15","C:\Program Files (x86)\Skillbrains\lightshot\5.5.0.7\Lightshot.exe"
"LockApp","1628","35,16","12","0,796875","02.04.2026 11:30:34","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"lsass","1000","17,25","9","8,109375","02.04.2026 11:22:19",
"Memory Compression","2232","29,73","90","10,71875","02.04.2026 11:22:20",
"msedge","2304","80,81","20","44,03125","02.04.2026 23:13:44","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","2440","13,32","14","0,09375","02.04.2026 23:13:45","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","4700","6,64","9","0,15625","02.04.2026 23:14:22","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","7092","2,98","7","0,015625","02.04.2026 23:10:55","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","8272","10,75","14","0,09375","02.04.2026 23:13:44","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","11740","91,34","22","32,34375","02.04.2026 23:10:55","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","11852","26,16","23","1,90625","02.04.2026 23:10:55","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","12348","120,57","61","44,8125","02.04.2026 23:10:55","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","12696","25,59","20","0,203125","02.04.2026 23:13:39","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","13220","6,54","11","0,109375","02.04.2026 23:10:55","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","13224","16,43","21","2,703125","02.04.2026 23:13:42","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"mysqld","4068","16,86","3","0,046875","02.04.2026 11:22:22","C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe"
"mysqld","4380","173,46","39","1,3125","02.04.2026 11:22:24","C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe"
"notepad","32","19,04","4","0,296875","03.04.2026 8:00:06","C:\Windows\system32\NOTEPAD.EXE"
"nxagentd","3864","27,13","59","43,890625","02.04.2026 11:22:22","C:\NetXMS\bin\nxagentd.exe"
"nxcrashsrv","4864","0,7","2","0","02.04.2026 11:22:23","C:\NetXMS\bin\nxcrashsrv.exe"
"OfficeClickToRun","3996","25,34","17","1,296875","02.04.2026 11:22:22","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"
"OneApp.IGCC.WinService","3764","22,95","8","0,921875","02.04.2026 11:22:22","C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_22dff82e7da0099b\OneApp.IGCC.WinService.exe"
"pdc2agent","3772","99,41","8","1,046875","02.04.2026 11:22:22","C:\Program Files\project.DC2\pdc2agent\pdc2agent.exe"
"pdc2client","10040","24,85","9","7,40625","02.04.2026 11:30:15","C:\Program Files\project.DC2\pdc2client\pdc2client.exe"
"powershell","11480","79,07","19","0,734375","03.04.2026 8:03:46","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"powershell","13004","157,66","19","59,953125","03.04.2026 8:04:19","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"PresentationFontCache","5852","5,71","4","0,15625","02.04.2026 11:29:58","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"Registry","124","30,52","4","3,3125","02.04.2026 11:22:08",
"rserver3","3756","5,8","10","0,703125","02.04.2026 11:22:22","C:\Windows\SysWOW64\rserver30\RServer3.exe"
"RuntimeBroker","1528","3,43","2","0,046875","02.04.2026 11:32:05","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","2728","6,49","2","0,140625","02.04.2026 11:30:03","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","8764","18,39","3","0,78125","02.04.2026 11:30:35","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","9312","18,04","5","0,875","02.04.2026 11:30:04","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","9852","11,73","2","1,796875","02.04.2026 11:30:13","C:\Windows\System32\RuntimeBroker.exe"
"SearchApp","7548","105,14","31","4,21875","02.04.2026 11:30:04","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"services","980","12,26","6","6,234375","02.04.2026 11:22:19",
"ShellExperienceHost","4988","16,71","10","0,3125","02.04.2026 11:32:05","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","2196","15,42","8","2,84375","02.04.2026 11:29:58","C:\Windows\system32\sihost.exe"
"smartscreen","5540","24,23","8","0,03125","03.04.2026 7:59:42","C:\Windows\System32\smartscreen.exe"
"smss","532","0,38","2","0,171875","02.04.2026 11:22:11",
"spoolsv","3344","6,83","7","0,15625","02.04.2026 11:22:21","C:\Windows\System32\spoolsv.exe"
"SQLAGENT","4196","22,34","29","8,859375","02.04.2026 11:24:36","C:\Program Files\Microsoft SQL Server\MSSQL17.PO_UMOLCH\MSSQL\Binn\SQLAGENT.EXE"
"SQLAGENT","6640","17,34","21","1,8125","02.04.2026 11:22:29","C:\Program Files\Microsoft SQL Server\MSSQL13.FA15\MSSQL\Binn\SQLAGENT.EXE"
"sqlbrowser","3856","1,24","7","0","02.04.2026 11:22:22","C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe"
"sqlceip","3364","58,1","17","8,109375","02.04.2026 11:24:35","C:\Program Files\Microsoft SQL Server\MSSQL17.PO_UMOLCH\MSSQL\Binn\sqlceip.exe"
"sqlceip","4960","30,37","12","2,515625","02.04.2026 11:22:23","C:\Program Files\Microsoft SQL Server\MSSQL13.FA15\MSSQL\Binn\sqlceip.exe"
"sqlservr","1620","423,77","153","45,484375","02.04.2026 11:24:32","C:\Program Files\Microsoft SQL Server\MSSQL17.PO_UMOLCH\MSSQL\Binn\sqlservr.exe"
"sqlservr","4924","203,54","100","567,984375","02.04.2026 11:22:23","C:\Program Files\Microsoft SQL Server\MSSQL13.FA15\MSSQL\Binn\sqlservr.exe"
"sqlwriter","3820","2,45","2","0","02.04.2026 11:22:22","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"
"StartMenuExperienceHost","9196","49,18","7","0,984375","02.04.2026 11:30:03","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","576","20,31","9","3,75","02.04.2026 11:22:19","C:\Windows\system32\svchost.exe"
"svchost","1172","11,42","12","8,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1224","5,43","4","0,625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1340","6,48","34","0,734375","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1368","4,3","4","0,09375","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1476","5,75","1","0,53125","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1484","5,47","2","0,09375","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1560","18,04","10","41,71875","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1596","2,83","6","0,03125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1604","4,39","4","0,078125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1692","7,51","2","13,65625","02.04.2026 11:24:35","C:\Windows\System32\svchost.exe"
"svchost","1748","9,95","5","0,75","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","1808","5,89","2","0,078125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1880","4,97","2","0,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1952","10,45","7","3,640625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","1960","4,27","5","2,015625","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2076","5,92","4","10,8125","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2084","7,12","4","0,171875","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2092","1,99","3","0,015625","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","2168","3,88","4","0,46875","02.04.2026 11:22:20","C:\Windows\System32\svchost.exe"
"svchost","2176","3,68","6","0,25","02.04.2026 11:22:20","C:\Windows\system32\svchost.exe"
"svchost","2200","10,36","9","2,9375","02.04.2026 11:29:58","C:\Windows\system32\svchost.exe"
